person,encoder,class,precision,recall,f1,support
ID6,cnn,frontandafter,0.5,1.0,0.6666666666666666,3
ID6,cnn,leftandright,1.0,1.0,1.0,3
ID6,cnn,upanddown,0.0,0.0,0.0,3
ID6,cnn,waveright,1.0,0.6666666666666666,0.8,3
ID6,vit,applause,0.75,1.0,0.8571428571428571,3
ID6,vit,circleclockwise,1.0,1.0,1.0,3
ID6,vit,frontandafter,0.5,1.0,0.6666666666666666,3
ID6,vit,leftandright,1.0,1.0,1.0,3
ID6,vit,upanddown,1.0,0.6666666666666666,0.8,3
ID6,vit,waveright,0.0,0.0,0.0,3
ID7,mlp,applause,1.0,1.0,1.0,3
ID7,mlp,circleclockwise,1.0,1.0,1.0,3
ID7,mlp,frontandafter,1.0,1.0,1.0,3
ID7,mlp,leftandright,1.0,1.0,1.0,3
ID7,mlp,upanddown,1.0,1.0,1.0,3
ID7,mlp,waveright,1.0,1.0,1.0,3
ID7,cnn,applause,1.0,1.0,1.0,3
ID7,cnn,circleclockwise,1.0,1.0,1.0,3
ID7,cnn,frontandafter,0.0,0.0,0.0,3
ID7,cnn,leftandright,1.0,1.0,1.0,3
ID7,cnn,upanddown,0.5,1.0,0.6666666666666666,3
ID7,cnn,waveright,1.0,1.0,1.0,3
ID7,vit,applause,0.5,1.0,0.6666666666666666,3
ID7,vit,circleclockwise,1.0,1.0,1.0,3
ID7,vit,frontandafter,1.0,0.3333333333333333,0.5,3
ID7,vit,leftandright,1.0,1.0,1.0,3
ID7,vit,upanddown,0.6,1.0,0.75,3
ID7,vit,waveright,0.0,0.0,0.0,3
ID8,mlp,applause,1.0,1.0,1.0,3
ID8,mlp,circleclockwise,1.0,1.0,1.0,3
ID8,mlp,frontandafter,1.0,1.0,1.0,3
ID8,mlp,leftandright,1.0,1.0,1.0,3
ID8,mlp,upanddown,1.0,1.0,1.0,3
ID8,mlp,waveright,1.0,1.0,1.0,3
ID8,cnn,applause,1.0,1.0,1.0,3
ID8,cnn,circleclockwise,0.0,0.0,0.0,3
ID8,cnn,frontandafter,0.0,0.0,0.0,3
ID8,cnn,leftandright,0.0,0.0,0.0,3
ID8,cnn,upanddown,0.5,1.0,0.6666666666666666,3
ID8,cnn,waveright,1.0,1.0,1.0,3
ID8,vit,applause,1.0,1.0,1.0,3
ID8,vit,circleclockwise,0.0,0.0,0.0,3
ID8,vit,frontandafter,0.0,0.0,0.0,3
ID8,vit,leftandright,1.0,1.0,1.0,3
ID8,vit,upanddown,0.3333333333333333,1.0,0.5,3
ID8,vit,waveright,1.0,1.0,1.0,3
